time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
10:14:00,2.19,2.32,2.33,2.3,2.31,2.3,2.29,2.28,2.31,2.31,2.3,2.27,2.3,2.28,2.29,2.26,3.62,3.51,3.49,3.49,3.52,3.57,3.52,3.53,3.52,3.52,3.53,3.54,3.59,3.48,3.47,3.49,2.27,2.31,2.32,2.3,2.29,2.24,2.25,2.23,2.24,2.25,2.21,2.19,2.22,2.27,2.21,2.21,3.54,3.5,3.49,3.48,3.47,3.48,3.46,3.44,3.44,3.4,2.41,2.4,2.37,3.37,3.34,2.37
10:14:01,2.19,2.32,2.33,2.3,2.31,2.3,2.29,2.28,2.31,2.31,2.3,2.27,2.3,2.28,2.29,2.26,3.62,3.51,3.49,3.49,3.52,3.57,3.52,3.53,3.52,3.52,3.53,3.54,3.59,3.48,3.47,3.49,2.27,2.31,2.32,2.3,2.29,2.24,2.25,2.23,2.24,2.25,2.21,2.19,2.22,2.27,2.21,2.21,3.54,3.5,3.49,3.48,3.47,3.48,3.46,3.44,3.44,3.4,2.41,2.4,2.37,3.37,3.34,2.37
10:14:02,2.19,2.32,2.33,2.3,2.31,2.3,2.29,2.28,2.31,2.31,2.3,2.27,2.3,2.28,2.29,2.26,3.62,3.51,3.49,3.49,3.52,3.57,3.52,3.53,3.52,3.52,3.53,3.54,3.59,3.48,3.47,3.49,2.27,2.31,2.32,2.3,2.29,2.24,2.25,2.23,2.24,2.25,2.21,2.19,2.22,2.27,2.21,2.21,3.54,3.5,3.49,3.48,3.47,3.48,3.46,3.44,3.44,3.4,2.41,2.4,2.37,3.37,3.34,2.37
10:14:03,2.19,2.32,2.33,2.3,2.31,2.3,2.29,2.28,2.31,2.31,2.3,2.27,2.3,2.28,2.29,2.26,3.62,3.51,3.49,3.49,3.52,3.57,3.52,3.53,3.52,3.52,3.53,3.54,3.59,3.48,3.47,3.49,2.27,2.31,2.32,2.3,2.29,2.24,2.25,2.23,2.24,2.25,2.21,2.19,2.22,2.27,2.21,2.21,3.54,3.5,3.49,3.48,3.47,3.48,3.46,3.44,3.44,3.4,2.41,2.4,2.37,3.37,3.34,2.37
10:14:04,2.19,2.32,2.33,2.3,2.31,2.3,2.29,2.28,2.31,2.31,2.3,2.27,2.3,2.28,2.29,2.26,3.62,3.51,3.49,3.49,3.52,3.57,3.52,3.53,3.52,3.52,3.53,3.54,3.59,3.48,3.47,3.49,2.27,2.31,2.32,2.3,2.29,2.24,2.25,2.23,2.24,2.25,2.21,2.19,2.22,2.27,2.21,2.21,3.54,3.5,3.49,3.48,3.47,3.48,3.46,3.44,3.44,3.4,2.41,2.4,2.37,3.37,3.34,2.37
10:14:06,2.19,2.32,2.33,2.3,2.31,2.3,2.29,2.28,2.31,2.31,2.3,2.27,2.3,2.28,2.29,2.26,3.62,3.51,3.49,3.49,3.52,3.57,3.52,3.53,3.52,3.52,3.53,3.54,3.59,3.48,3.47,3.49,2.27,2.31,2.32,2.3,2.29,2.24,2.25,2.23,2.24,2.25,2.21,2.19,2.22,2.27,2.21,2.21,3.54,3.5,3.49,3.48,3.47,3.48,3.46,3.44,3.44,3.4,2.41,2.4,2.37,3.37,3.34,2.37
10:14:07,2.19,2.32,2.33,2.3,2.31,2.3,2.29,2.28,2.31,2.31,2.3,2.27,2.3,2.28,2.29,2.26,3.62,3.51,3.49,3.49,3.52,3.57,3.52,3.53,3.52,3.52,3.53,3.54,3.59,3.48,3.47,3.49,2.27,2.31,2.32,2.3,2.29,2.24,2.25,2.23,2.24,2.25,2.21,2.19,2.22,2.27,2.21,2.21,3.54,3.5,3.49,3.48,3.47,3.48,3.46,3.44,3.44,3.4,2.41,2.4,2.37,3.37,3.34,2.37
10:14:08,2.19,2.32,2.33,2.3,2.31,2.3,2.29,2.28,2.31,2.31,2.3,2.27,2.3,2.28,2.29,2.26,3.62,3.51,3.49,3.49,3.52,3.57,3.52,3.53,3.52,3.52,3.53,3.54,3.59,3.48,3.47,3.49,2.27,2.31,2.32,2.3,2.29,2.24,2.25,2.23,2.24,2.25,2.21,2.19,2.22,2.27,2.21,2.21,3.54,3.5,3.49,3.48,3.47,3.48,3.46,3.44,3.44,3.4,2.41,2.4,2.37,3.37,3.34,2.37
10:14:09,2.19,2.32,2.33,2.3,2.31,2.3,2.29,2.28,2.31,2.31,2.3,2.27,2.3,2.28,2.29,2.26,3.62,3.51,3.49,3.49,3.52,3.57,3.52,3.53,3.52,3.52,3.53,3.54,3.59,3.48,3.47,3.49,2.27,2.31,2.32,2.3,2.29,2.24,2.25,2.23,2.24,2.25,2.21,2.19,2.22,2.27,2.21,2.21,3.54,3.5,3.49,3.48,3.47,3.48,3.46,3.44,3.44,3.4,2.41,2.4,2.37,3.37,3.34,2.37
10:14:11,2.19,2.32,2.33,2.3,2.31,2.3,2.29,2.28,2.31,2.31,2.3,2.27,2.3,2.28,2.29,2.26,3.62,3.51,3.49,3.49,3.52,3.57,3.52,3.53,3.52,3.52,3.53,3.54,3.59,3.48,3.47,3.49,2.27,2.31,2.32,2.3,2.29,2.24,2.25,2.23,2.24,2.25,2.21,2.19,2.22,2.27,2.21,2.21,3.54,3.5,3.49,3.48,3.47,3.48,3.46,3.44,3.44,3.4,2.41,2.4,2.37,3.37,3.34,2.37
10:14:12,2.19,2.32,2.33,2.3,2.31,2.3,2.29,2.28,2.31,2.31,2.3,2.27,2.3,2.28,2.29,2.26,3.62,3.51,3.49,3.49,3.52,3.57,3.52,3.53,3.52,3.52,3.53,3.54,3.59,3.48,3.47,3.49,2.27,2.31,2.32,2.3,2.29,2.24,2.25,2.23,2.24,2.25,2.21,2.19,2.22,2.27,2.21,2.21,3.54,3.5,3.49,3.48,3.47,3.48,3.46,3.44,3.44,3.4,2.41,2.4,2.37,3.37,3.34,2.37
10:14:13,2.19,2.32,2.33,2.3,2.31,2.3,2.29,2.28,2.31,2.31,2.3,2.27,2.3,2.28,2.29,2.26,3.62,3.51,3.49,3.49,3.52,3.57,3.52,3.53,3.52,3.52,3.53,3.54,3.59,3.48,3.47,3.49,2.27,2.31,2.32,2.3,2.29,2.24,2.25,2.23,2.24,2.25,2.21,2.19,2.22,2.27,2.21,2.21,3.54,3.5,3.49,3.48,3.47,3.48,3.46,3.44,3.44,3.4,2.41,2.4,2.37,3.37,3.34,2.37
